728|LEO||DELGADO||Mr|1951-07-14 00:00:00.000|21|811743|157941|1992-04-01 00:00:00.000|1995-06-07 00:00:00.000|yXmgHIWmSSFSn|2010-11-22 00:00:00.000|N|N|N|Y|186|2009-09-11 00:00:00.000|351|2007-04-18 00:00:00.000
729|LESLIE||JEFFERSON||Mrs|1926-10-10 00:00:00.000|8|203675|928575|1995-06-08 00:00:00.000|2005-05-29 00:00:00.000|QHfc|1990-01-25 00:00:00.000|Y|N|Y|Y|722|2007-01-10 00:00:00.000|614|2011-12-04 00:00:00.000
730|LEO||REYNOLDS||Mr|1936-06-21 00:00:00.000|39|611767|658615|2001-06-22 00:00:00.000|2005-03-29 00:00:00.000|CSpRlVjjGdGpJPsJ|1996-06-29 00:00:00.000|N|Y|Y|Y|81|2010-08-17 00:00:00.000|719|2010-02-27 00:00:00.000
731|LESLIE||LEWIS||Mrs|1931-08-15 00:00:00.000|50|783909|567972|1990-07-16 00:00:00.000|1990-04-03 00:00:00.000|CjvbVdVYqXMUBg|2007-03-04 00:00:00.000|N|Y|Y|N|591|2009-05-20 00:00:00.000|392|2007-08-04 00:00:00.000
732|MELANIE||WEST||Miss|1947-05-04 00:00:00.000|17|112787|900565|1997-03-22 00:00:00.000|2011-08-19 00:00:00.000|IRBj|2010-07-15 00:00:00.000|N|N|N|N|141|2007-11-24 00:00:00.000|670|2010-11-21 00:00:00.000
733|MELANIE||JENNINGS||Miss|1920-09-06 00:00:00.000|47|925396|908029|1997-07-13 00:00:00.000|2003-10-25 00:00:00.000|pmJbKmIEJZOhi|1992-11-02 00:00:00.000|Y|Y|N|N|245|2009-06-19 00:00:00.000|318|2009-03-03 00:00:00.000
734|CHARLIE||PENA||Mr|1919-12-11 00:00:00.000|12|960578|234289|1997-08-20 00:00:00.000|2002-12-11 00:00:00.000|TWhGjchESwJ|2010-04-29 00:00:00.000|N|Y|Y|Y|48|2007-09-18 00:00:00.000|735|2007-12-25 00:00:00.000
735|CHARLOTTE||BENNETT||Miss|2008-03-05 00:00:00.000|21|773554|644486|2006-04-06 00:00:00.000|1991-06-15 00:00:00.000|ZUIXuCkHDhrIp|2000-02-06 00:00:00.000|Y|Y|N|N|427|2011-02-17 00:00:00.000|494|2009-07-30 00:00:00.000
736|CHERYL||REESE||Ms|1926-12-02 00:00:00.000|21|741086|344271|2001-12-04 00:00:00.000|1998-09-26 00:00:00.000|tisyqSPwvrHu|1993-07-24 00:00:00.000|Y|N|N|Y|468|2007-10-01 00:00:00.000|814|2008-04-11 00:00:00.000
737|CHRIS||MENDOZA||Mr|1908-04-08 00:00:00.000|33|345240|437595|1994-07-02 00:00:00.000|2002-06-30 00:00:00.000|hJiwUDFTH|2005-09-29 00:00:00.000|Y|Y|N|N|455|2010-05-21 00:00:00.000|191|2010-11-19 00:00:00.000
738|CHRISTINA||WEBSTER||Dr|1970-10-09 00:00:00.000|12|544186|982327|2005-03-25 00:00:00.000|2011-10-18 00:00:00.000|RWskparYWahsYuvt|1992-05-24 00:00:00.000|N|N|N|N|596|2009-06-20 00:00:00.000|396|2011-12-03 00:00:00.000
739|PHILLIP||DELGADO||Mr|1937-09-23 00:00:00.000|19|499612|405999|2002-11-17 00:00:00.000|2009-10-21 00:00:00.000|tlqeRlxpV|1998-01-17 00:00:00.000|Y|N|N|Y|31|2010-02-11 00:00:00.000|186|2010-10-01 00:00:00.000
740|PHYLLIS||WEBER||Miss|1920-07-19 00:00:00.000|22|708481|2630|2000-11-25 00:00:00.000|2007-04-27 00:00:00.000|sgc|2009-12-30 00:00:00.000|Y|Y|N|Y|539|2010-08-11 00:00:00.000|99|2010-03-01 00:00:00.000
741|SHIRLEY||PENA||Mrs|1913-06-27 00:00:00.000|3|87717|88223|1995-10-11 00:00:00.000|2001-02-13 00:00:00.000|vyUmAWBefhIzDh|2011-03-26 00:00:00.000|N|N|N|N|449|2008-04-01 00:00:00.000|725|2010-09-02 00:00:00.000
742|SHANNON||NEWMAN||Miss|1919-06-10 00:00:00.000|3|427495|378248|1994-03-12 00:00:00.000|2005-04-27 00:00:00.000|XabMwlsEPFv|2010-12-12 00:00:00.000|Y|Y|N|N|183|2011-02-03 00:00:00.000|709|2009-08-18 00:00:00.000
743|SHAWN||GEORGE||Mr|1990-11-08 00:00:00.000|5|588660|931324|2005-07-01 00:00:00.000|2008-04-29 00:00:00.000|jCuRljPNilhW|1999-06-13 00:00:00.000|N|Y|Y|Y|228|2008-08-13 00:00:00.000|481|2008-05-30 00:00:00.000
744|SHERRY||PETERSON||Mrs|1911-03-26 00:00:00.000|28|390536|951305|1991-05-13 00:00:00.000|1998-04-28 00:00:00.000|gaKylVWFyuhlFj|2008-03-26 00:00:00.000|Y|Y|Y|N|497|2011-04-20 00:00:00.000|610|2008-06-17 00:00:00.000
745|THOMAS||REID||Mr|1957-05-24 00:00:00.000|25|232426|250870|1991-02-07 00:00:00.000|2003-12-30 00:00:00.000|dUDxH|1997-08-25 00:00:00.000|Y|N|Y|Y|657|2007-07-05 00:00:00.000|794|2011-07-25 00:00:00.000
746|THOMAS||BECKER||Mr|1924-08-02 00:00:00.000|35|817881|789654|2002-09-20 00:00:00.000|1996-08-16 00:00:00.000|sjpmCbls|1991-05-25 00:00:00.000|Y|Y|N|Y|156|2007-03-23 00:00:00.000|759|2008-04-16 00:00:00.000
747|THOMAS||BERRY||Mr|1935-08-22 00:00:00.000|30|310254|635744|1998-11-19 00:00:00.000|1996-12-31 00:00:00.000|ZSSB|2005-05-27 00:00:00.000|Y|N|Y|N|483|2009-12-28 00:00:00.000|391|2010-08-14 00:00:00.000
748|EDITH||REID||Mrs|1967-10-24 00:00:00.000|30|258106|914957|2009-07-04 00:00:00.000|1996-05-29 00:00:00.000|NuaPFDAjcR|2000-08-24 00:00:00.000|Y|Y|Y|Y|100|2008-07-19 00:00:00.000|171|2009-02-03 00:00:00.000
749|EDITH||KELLER||Mrs|1973-05-03 00:00:00.000|41|946704|283891|1990-08-12 00:00:00.000|2005-11-29 00:00:00.000|KxrMVjDVeUsbhbZ|2000-10-02 00:00:00.000|Y|Y|N|N|88|2009-08-15 00:00:00.000|364|2008-10-20 00:00:00.000
750|EDITH||MEYER||Mrs|1930-10-29 00:00:00.000|46|301729|980450|1999-01-12 00:00:00.000|1999-03-08 00:00:00.000|hFagDcfL|2004-04-29 00:00:00.000|N|Y|Y|N|540|2010-06-18 00:00:00.000|119|2011-05-07 00:00:00.000
751|IDA||KELLER||Ms|1911-01-27 00:00:00.000|37|965213|107060|1994-06-02 00:00:00.000|1991-06-27 00:00:00.000|JgKdwELtSUTrHzv|2005-07-02 00:00:00.000|Y|Y|Y|Y|457|2011-08-20 00:00:00.000|776|2007-10-24 00:00:00.000
752|SCOTT||BERRY||Mr|2005-12-25 00:00:00.000|11|568848|956218|2002-01-08 00:00:00.000|1994-07-27 00:00:00.000|SxaOmg|1993-07-11 00:00:00.000|N|N|N|N|308|2010-11-27 00:00:00.000|345|2008-12-29 00:00:00.000
753|PETER||REID||Mr|1976-10-24 00:00:00.000|15|740324|553689|2004-04-19 00:00:00.000|2004-11-04 00:00:00.000|XvnDtLZZi|2010-07-06 00:00:00.000|Y|Y|Y|N|750|2011-10-11 00:00:00.000|474|2007-08-21 00:00:00.000
754|PEDRO||MEDINA||Dr|1904-06-19 00:00:00.000|39|817443|561019|2010-05-18 00:00:00.000|1991-09-22 00:00:00.000|dGODQQFo|1992-02-22 00:00:00.000|N|Y|Y|N|831|2011-08-07 00:00:00.000|654|2010-10-19 00:00:00.000
755|REGINA||DELGADO||Mrs|1935-07-12 00:00:00.000|41|530548|685651|1997-06-22 00:00:00.000|1995-10-04 00:00:00.000|Yplaa|1995-04-20 00:00:00.000|N|Y|N|Y|777|2007-05-28 00:00:00.000|800|2007-01-09 00:00:00.000
779|JAMES||JEFFERSON||Mr|1937-02-16 00:00:00.000|18|824120|237014|1994-03-17 00:00:00.000|2007-03-19 00:00:00.000|rcMLVlbSBFIdsba|2008-11-01 00:00:00.000|Y|Y|N|Y|111|2007-11-13 00:00:00.000|259|2010-10-02 00:00:00.000
780|JAMES||PERKINS||Mr|1915-05-24 00:00:00.000|5|922198|639309|2010-08-12 00:00:00.000|1994-06-26 00:00:00.000|tqpvKr|1999-06-02 00:00:00.000|N|Y|N|N|848|2008-08-31 00:00:00.000|406|2008-08-20 00:00:00.000
781|JAMES||WEBER||Mr|1963-01-20 00:00:00.000|21|451211|266322|1993-05-03 00:00:00.000|2001-08-31 00:00:00.000|hMLFPwrSfjPfN|1999-03-21 00:00:00.000|N|N|N|Y|191|2009-05-11 00:00:00.000|586|2009-07-19 00:00:00.000
782|JAMES||PERRY||Mr|1901-11-28 00:00:00.000|12|777533|120462|2006-01-24 00:00:00.000|1994-10-30 00:00:00.000|WNjgNrtZtCWMEm|2006-12-27 00:00:00.000|Y|N|N|Y|716|2010-02-26 00:00:00.000|703|2011-09-13 00:00:00.000
783|KATHERINE||FERNANDEZ||Dr|1917-06-28 00:00:00.000|40|605944|178992|2005-03-04 00:00:00.000|1990-01-15 00:00:00.000|sExhuOdj|1997-12-07 00:00:00.000|Y|N|Y|N|191|2011-08-28 00:00:00.000|682|2011-11-11 00:00:00.000
784|KATIE||WEAVER||Mrs|1966-08-22 00:00:00.000|28|556043|675946|1994-05-30 00:00:00.000|2004-02-26 00:00:00.000|fvCwGcgctk|1990-08-26 00:00:00.000|N|Y|Y|N|261|2011-07-01 00:00:00.000|368|2009-08-21 00:00:00.000
785|KATHRYN||WELLS||Mrs|1993-08-09 00:00:00.000|49|431891|892071|1992-02-28 00:00:00.000|2008-06-21 00:00:00.000|mTrLhpbmwzaoq|2001-07-24 00:00:00.000|Y|N|Y|Y|621|2007-09-19 00:00:00.000|308|2010-01-04 00:00:00.000
786|LAURA||BELL||Mrs|1970-07-25 00:00:00.000|20|695665|28147|1993-10-13 00:00:00.000|2005-01-08 00:00:00.000|JfCpqounwrZd|2010-10-02 00:00:00.000|Y|N|Y|N|11|2011-07-11 00:00:00.000|103|2008-07-12 00:00:00.000
787|LAURA||BECKER||Mrs|1930-01-04 00:00:00.000|16|717319|824947|2010-07-20 00:00:00.000|1998-10-08 00:00:00.000|DPddGZwmTsobldq|2007-11-15 00:00:00.000|N|N|N|Y|490|2011-12-19 00:00:00.000|267|2010-01-08 00:00:00.000
788|LAURA||PEARSON||Mrs|1997-10-09 00:00:00.000|35|323496|475565|2002-01-21 00:00:00.000|1990-05-20 00:00:00.000|pUNdfawYjD|2001-10-05 00:00:00.000|N|Y|N|Y|519|2008-11-23 00:00:00.000|818|2007-03-24 00:00:00.000
789|MATTHEW||REED||Mr|1994-09-03 00:00:00.000|37|717038|486167|2007-08-13 00:00:00.000|2005-12-06 00:00:00.000|XCgQV|2010-04-23 00:00:00.000|Y|N|N|Y|542|2010-03-04 00:00:00.000|820|2011-02-16 00:00:00.000
790|MARGARET||WEBB||Mrs|1910-07-08 00:00:00.000|31|925542|868727|1999-11-01 00:00:00.000|2003-02-02 00:00:00.000|WwN|2003-08-05 00:00:00.000|Y|N|Y|Y|577|2010-09-30 00:00:00.000|613|2008-05-20 00:00:00.000
791|MARIO||NEWMAN||Mr|1964-01-09 00:00:00.000|36|408882|768139|2011-08-29 00:00:00.000|2005-04-07 00:00:00.000|Pomr|1990-10-23 00:00:00.000|N|N|N|Y|344|2010-03-23 00:00:00.000|127|2011-01-09 00:00:00.000
792|MARTHA||KELLER||Ms|1917-01-22 00:00:00.000|3|376131|24304|2010-01-19 00:00:00.000|2004-06-27 00:00:00.000|RNttby|1997-03-20 00:00:00.000|N|N|Y|Y|340|2008-02-26 00:00:00.000|203|2011-04-02 00:00:00.000
793|MATTHEW||BENNETT||Mr|1926-04-05 00:00:00.000|16|8582|604169|1991-09-08 00:00:00.000|2001-06-14 00:00:00.000|lnzqbwJ|2010-12-08 00:00:00.000|Y|N|Y|Y|193|2009-01-31 00:00:00.000|576|2010-04-21 00:00:00.000
794|MARGARET||PERKINS||Mrs|1918-08-07 00:00:00.000|31|22855|382241|1997-05-24 00:00:00.000|2006-09-07 00:00:00.000|hkZHsTjSuFtdal|2006-04-12 00:00:00.000|Y|N|Y|Y|250|2011-12-04 00:00:00.000|164|2011-09-02 00:00:00.000
795|MARIO||BENSON||Mr|1993-10-14 00:00:00.000|49|95532|740029|2011-07-04 00:00:00.000|1991-10-09 00:00:00.000|LLwTE|2008-06-23 00:00:00.000|N|Y|Y|N|79|2008-01-23 00:00:00.000|821|2007-10-23 00:00:00.000
796|MARTHA||PEARSON||Ms|1920-08-24 00:00:00.000|47|248336|266280|1991-11-13 00:00:00.000|1995-07-24 00:00:00.000|OAFFIkrGtxmPpLx|2001-07-08 00:00:00.000|Y|Y|N|N|625|2008-05-19 00:00:00.000|298|2007-12-29 00:00:00.000
797|MATTHEW||KELLY||Mr|1917-11-26 00:00:00.000|14|933465|209433|1996-05-16 00:00:00.000|2003-04-22 00:00:00.000|FxqMlVxhyS|2009-11-20 00:00:00.000|N|Y|Y|N|173|2010-04-03 00:00:00.000|395|2011-05-28 00:00:00.000
798|NANCY||REEVES||Miss|1950-09-20 00:00:00.000|44|486219|84189|1992-03-26 00:00:00.000|1996-02-20 00:00:00.000|vlYbCnSNkfqMLwh|2001-04-14 00:00:00.000|N|N|Y|Y|439|2011-03-08 00:00:00.000|25|2010-08-15 00:00:00.000
799|PATRICK||NEAL||Mr|1945-04-14 00:00:00.000|12|983403|716446|2008-09-20 00:00:00.000|1998-10-31 00:00:00.000|PEtfO|1994-03-13 00:00:00.000|N|N|N|N|307|2009-04-27 00:00:00.000|671|2008-04-06 00:00:00.000
800|PAMELA||KELLEY||Mrs|2008-10-10 00:00:00.000|44|215283|896020|2007-12-10 00:00:00.000|2007-01-17 00:00:00.000|oTyteIKL|1994-03-14 00:00:00.000|Y|Y|Y|N|784|2007-09-08 00:00:00.000|102|2008-04-02 00:00:00.000
801|PAULA||REYNOLDS||Ms|1904-03-07 00:00:00.000|30|249878|713337|2001-06-14 00:00:00.000|2000-06-06 00:00:00.000|vDr|2010-06-27 00:00:00.000|Y|Y|N|N|608|2009-03-10 00:00:00.000|203|2011-01-05 00:00:00.000
802|PATRICK||HENRY||Mr|1953-08-01 00:00:00.000|41|536849|718821|1998-12-25 00:00:00.000|2011-04-25 00:00:00.000|hrBaGCVjTfamadK|1992-06-12 00:00:00.000|N|Y|N|Y|780|2008-02-09 00:00:00.000|378|2009-01-04 00:00:00.000
803|RALPH||DELGADO||Mr|2002-02-14 00:00:00.000|24|198220|45363|1993-06-10 00:00:00.000|2001-03-25 00:00:00.000|lnCfDbapz|2007-08-13 00:00:00.000|Y|Y|Y|Y|675|2008-08-24 00:00:00.000|392|2008-02-06 00:00:00.000
